original,translation
виды основного наказания арест,primaryArrest
виды основного наказания исправительные работы,primaryCorrectionalLabour
виды основного наказания лишение права занимать определенные должности или заниматься определенной деятельностью,primaryDisqualification
виды основного наказания лишение свободы,primaryImprisonment
виды основного наказания обязательные работы,primaryCommunityService
виды основного наказания ограничение по военной службе,primaryRestrictionsInMilitaryService
виды основного наказания ограничение свободы,primaryRestrain
виды основного наказания пожизненное лишение свободы,primaryLifeSentence
виды основного наказания принудительные работы,primaryForcedLabour
виды основного наказания содержание в дисциплинарной воинской части,primaryMilitaryDisciplinaryUnit
виды основного наказания условное осуждение к иным мерам,primaryOther
виды основного наказания условное осуждение к лишению свободы,primarySuspended
виды основного наказания штраф,primaryFine
всего осуждено,totalConvicted
"деяние совершено при обстоятельствах, исключающих преступность  крайняя необходимость (ст. 39 ук рф)",noCrimeNecessity
"деяние совершено при обстоятельствах, исключающих преступность  необходимая оборона (ст. 37 ук рф)",noCrimeSelf-defence
"деяние совершено при обстоятельствах, исключающих преступность  обстоятельства, предусмотренные статьями 38, 40 42 ук рф",noCrimeOther
дополнительное наказание лишение права занимать определенные должности или заниматься определенной деятельностью,addDisqualification
"дополнительное наказание лишение специального, воинского или почетного звания, классного чина и государственных наград",addTitlesWithdraw
дополнительное наказание ограничение свободы,addRestrain
дополнительное наказание штраф,addFine
оправдано,acquittal
по приговору освобождено осужденных от наказания    от иных мер или наказание не назначалось,exemptionOther
по приговору освобождено осужденных от наказания   по другим основаниям  от лишения свободы,exemptionFromImprisonment
по приговору освобождено осужденных от наказания  по амнистии,exemptionAmnesty
"по приговору освобождено осужденных от наказания или наказание не назначалось  в связи с зачетом срока содержания под стражей, домашнего ареста от лишения свободы",exemptionTimeServedFromImprisonment
"по приговору освобождено осужденных от наказания или наказание не назначалось  в связи с зачетом срока содержания под стражей, домашнего ареста  от иных мер",exemptionTimeServedOther
по приговору освобождено осужденных от наказания или наказание не назначалось  по амнистии от лишения свободы,exemptionAmnestyFromImprisonment
по приговору освобождено осужденных от наказания или наказание не назначалось  по амнистии  от иных мер,exemptionAmnestyOther
по приговору освобождено осужденных от наказания или наказание не назначалось  по другим основаниям от лишения свободы,exemptionOtherGroundsFromImprisonment
по приговору освобождено осужденных от наказания или наказание не назначалось  по другим основаниям  от иных мер,exemptionOtherGroundsOther
прекращено  в связи с деятельным раскаянием (ч. 1 ст. 28 упк рф),dismissalRepentance
"прекращено за отсутствием события, состава, непричастностью к преступлению (п. 1, 2 ч. 1 ст. 24 упк рф, ч. 2 ст. 24 упк рф)",dismissalAbsenceOfEvent
прекращено за примирением с потерпевшим (ст. 25 упк рф),dismissalReconciliation
прекращено на основании примечаний к статьям ук рф,dismissalRepentance2
прекращено назначена мера уголовноправового характера судебный штраф (ст. 25.1 упк рф),dismissalCourtFine
прекращено по амнистии,dismissalAmnesty
прекращено по другим основаниям,dismissalOther
"преступление не является оконченным (приготовление, покушение)",unfinishedOffence
принудительные меры к невменяемым,coerciveMeasures
статьи ук рф,clause
